clip_id,vggsound_label,gpt_action_brief,gpt_action_detailed,gpt_summary_brief,gpt_summary_detailed,gpt_sound_acoustic,overall_tag,sound_tag,note
BlhUt8AJJO8_000030,skateboarding,Skating on a skateboard,"A person wearing sneakers is riding a skateboard along a sidewalk. They move forward steadily, maintaining balance as they glide over the pavement.",A skateboarder cruising down an urban street.,"The video captures a skateboarder gliding smoothly across a city sidewalk. The individual, dressed casually in sneakers, demonstrates steady control while moving at a moderate pace. The surrounding environment suggests a typical urban setting with paved paths and occasional pedestrians or bystanders visible in the background.",The skateboarding sound consists of rhythmic rolling noises from the wheels interacting with the concrete surface.,good,good,
fEfe8jznp5Q_000030,duck quacking,Ducks swimming on water,The ducks are seen swimming around leaves floating on blue water. They move gracefully from left to right across the screen.,Ducks swimming on water with leaves floating nearby,"A serene aquatic scene where several ducks swim leisurely over a body of water dotted with green leaves. The ducks glide smoothly through the water, occasionally bumping into each other or the leaves as they navigate their way across the frame. The overall atmosphere is calm and peaceful, evoking a sense of tranquility typical of a natural pond environment.","The duck quacking has a soft, melodic quality that mimics the gentle vocalizations of real ducks.",hallucinated,wrong,Its a video game and this dataset is turning out to be really weird and kind of bad quality
bVg-KMzzrVA_000137,"ice cream truck, ice cream van",A pink tractor drives forward.,"The video shows a vibrant animation featuring several colorful tractors moving across a green landscape. The focus shifts to a bright pink tractor as it moves steadily from left to right on a grassy terrain marked by patterns resembling tire tracks or pathways. Other tractors, each uniquely colored such as blue, red, and green, are also visible but remain stationary throughout the sequence.",An animated scene where multiple tractors move through a stylized outdoor environment.,"The video depicts an animated scene set outdoors, likely representing a farm or construction area due to the presence of various tractors. These tractors come in different colors including pink, blue, red, and green, adding vibrancy to the scene. The primary action involves a pink tractor driving forward while others stand still in the background. The setting includes elements typical of a rural or industrial site, such as fencing and trees, contributing to a playful yet realistic depiction of machinery at work.","The 'ice cream truck, ice cream van' sound suggests a cheerful, melodic tune typically associated with mobile vendors attracting customers.",good,good,its tractor from paw patrol what the hell is with this dataset. This is definately not what the label vs the what I see is 
LcFXCaPmvbU_000155,people nose blowing,A person is blowing their nose.,"The video shows a close-up view of an individual who appears to be blowing their nose into a tissue or napkin held under their chin. The person's face is partially visible, focusing on the lower half including the mouth and chin area. The action seems deliberate and careful as they manage to blow without spilling any contents onto themselves.",An individual performing the act of nose-blowing indoors.,"In this indoor setting, likely within a home environment judging by the background elements such as furniture and decor, an individual is engaged in the simple yet intimate act of blowing their nose. This activity involves the use of a tissue or similar absorbent material which is being handled carefully beneath the chin to prevent spills. The focus remains tightly framed around the lower facial features emphasizing the action rather than broader environmental details.","The ""people nose blowing"" sound is characterized by a soft, rhythmic suction noise that typically accompanies the expulsion of air from the nostrils.",good,good,
XE0yaKh5vj4_000030,"female speech, woman speaking",dog resting on couch,"A dog is lying down on a couch, appearing relaxed but alert. Its ears are perked up slightly as if listening to something nearby.",A dog resting on a couch while someone speaks in the background.,"The scene takes place indoors, likely in a living room or similar space where a dog is comfortably lounging on a couch. The dog seems calm yet attentive, possibly reacting to subtle movements around it. In the background, there is an ongoing conversation between two people, indicated by the female speech heard throughout the audio segment.","The 'female speech, woman speaking' sound suggests a conversational tone, possibly casual or informative, delivered at a moderate pace.",good,good,"most of the visual captions are correct, and the woman does not speak at all "
kq6PDicCx9Q_000084,playing timbales,A person playing drums,"The person is standing behind two conga drums, holding drumsticks in each hand. They begin by tapping lightly on both drums simultaneously before gradually increasing their tempo and intensity.",A drummer performing a rhythmic pattern on conga drums.,"In an indoor setting with brick walls as background decor, a musician dressed casually plays a pair of conga drums. The performance starts softly but builds up to a more energetic beat, showcasing skillful control over the instrument through varied rhythms and dynamics.","The ""playing timbales"" sound features a crisp, resonant tone typical of percussion instruments, creating a lively musical atmosphere.",good,good,
FeXZY4eVLlo_000040,basketball bounce,Kobe Bryant scores on a dunk.,"Kobe Bryant dribbles past defenders near the basket, jumps high, and dunks the ball over an opponent. The crowd cheers as he lands back on the court.",A basketball game where Kobe Bryant makes a successful dunk.,"In a basketball game between two teams, Kobe Bryant skillfully maneuvers around his opponents to score a point by dunking the ball into the hoop. The players' movements are swift and precise, showcasing their athleticism and competitive spirit. The audience reacts enthusiastically to Bryant's impressive play, adding to the excitement of the match.","The ""basketball bounce"" sound is rhythmic and resonant, indicating the ball hitting the ground during Bryant's dribbling.",good,good,This is not the dataset for us 
dyFoyYMZu-E_000508,lip smacking,eating,A woman is eating food from a bowl while sitting on a bed. She uses a fork to scoop up some food and brings it to her mouth.,A woman eating food on a bed.,"The video depicts a woman seated on a bed, enjoying a meal from a bowl placed on her lap. The room has a cozy ambiance with soft lighting and decorative elements such as flowers and artwork visible in the background. Throughout the video, she uses a fork to eat, occasionally pausing between bites. The sound of lip smacking accompanies her chewing, adding an auditory element to the visual experience.","The ""lip smacking"" sound is rhythmic and consistent, indicating someone chewing food slowly.",good,good,
5fLzQegwHUg_000030,reversing beeps,A truck is reversing on a narrow road.,"The video shows a large green truck attempting to navigate a tight turn on a narrow rural road surrounded by dense vegetation. The truck appears to be struggling as it reverses slowly, trying to maneuver around an obstacle or curve that seems too close for comfort. Throughout the sequence, the truck's movements are cautious and deliberate, indicating difficulty in the confined space.","A green truck reversing on a narrow, winding country road bordered by lush greenery.","In a serene, forested area, a green truck is seen navigating a particularly challenging section of a narrow dirt road. The vehicle, equipped with a crane-like attachment at the back, maneuvers carefully due to the limited space available. As the truck reverses, it encounters difficulties typical of such terrain, including tight turns and uneven surfaces, which require precise control from the driver.",The 'reversing beeps' consist of intermittent high-pitched electronic tones typically used by vehicles when moving backwards to alert others of their movement.,good,wrong,"bro what is wrong with this datset its not good quality for example the label says beeps there were no beeps here, what the hell I am stopping here "
ez0LZnySWE4_000030,people farting,a dinosaur is sitting on the ground.,"A green dinosaur is sitting on the ground next to a pink pig. The dinosaur appears to be relaxed but suddenly starts to burp loudly, causing a cloud of gas to emit from its mouth. The pig looks surprised by the sudden noise and movement.",A humorous interaction between a dinosaur and a pig where the dinosaur unexpectedly burps.,"The scene takes place outdoors, likely in an open area suitable for animals. A green dinosaur sits calmly beside a pink pig. Suddenly, the dinosaur burps loudly, releasing a large amount of gas into the air. This unexpected event startles both the dinosaur and the pig, who reacts with surprise.","The ""people farting"" sound is characterized by a low-frequency, rhythmic expulsion that mimics the natural sound of flatulence.",good,good,
